"","segment","repetition","frame","point","x","y"
"261991","sh",3,10,2,114.84959203,59.85043819
"261992","sh",3,10,3,112.14033078,57.73378724
"261993","sh",3,10,4,109.39288428,55.50016249
"261994","sh",3,10,5,106.36052973,53.70349954
"261995","sh",3,10,6,103.0426529,52.69182848
"261996","sh",3,10,7,99.58985077,52.21948997
"261997","sh",3,10,8,96.12050326,52.03877065
"261998","sh",3,10,9,92.67176067,52.08050412
"261999","sh",3,10,10,89.25882403,52.29741282
"2619910","sh",3,10,11,85.88346957,52.54026122
"2619911","sh",3,10,12,82.55109661,53.13545299
"2619912","sh",3,10,13,79.33576955,54.31348886
"2619913","sh",3,10,14,76.26574043,55.81120182
"2619914","sh",3,10,15,73.3451999,57.47266389
"2619915","sh",3,10,16,70.59884717,59.37053747
"2619916","sh",3,10,17,67.95253266,61.21667638
"2619917","sh",3,10,18,65.46945012,63.19629027
"2619918","sh",3,10,19,63.38240178,65.75862602
"2619919","sh",3,10,20,61.57268084,68.51278397
"26399","sh",3,11,1,117.76612771,61.48352627
"263991","sh",3,11,2,114.59020085,60.34263167
"263992","sh",3,11,3,111.5307883,59.06662518
"263993","sh",3,11,4,108.47780085,57.83846618
"263994","sh",3,11,5,105.40295564,56.62343638
"263995","sh",3,11,6,102.30535694,55.45277952
"263996","sh",3,11,7,99.14521859,54.35928582
"263997","sh",3,11,8,95.93005266,53.30924268
"263998","sh",3,11,9,92.63032495,52.52584382
"263999","sh",3,11,10,89.26062635,52.24843731
"2639910","sh",3,11,11,85.88098421,52.41102356
"2639911","sh",3,11,12,82.54876411,53.10453568
"2639912","sh",3,11,13,79.32626575,54.24155116
"2639913","sh",3,11,14,76.24884539,55.72210934
"2639914","sh",3,11,15,73.31845132,57.36493956
"2639915","sh",3,11,16,70.47674835,58.97504964
"2639916","sh",3,11,17,67.79117412,60.78209637
"2639917","sh",3,11,18,65.26061937,62.71776935
"2639918","sh",3,11,19,63.00878543,65.0185077
"2639919","sh",3,11,20,61.13740702,67.75887473
"26599","sh",3,12,1,115.64298621,65.01694924
"265991","sh",3,12,2,112.72377262,63.88417007
"265992","sh",3,12,3,109.95174213,62.51939955
"265993","sh",3,12,4,107.1836794,61.14532197
"265994","sh",3,12,5,104.36091867,59.80092644
"265995","sh",3,12,6,101.60540016,58.07390663
"265996","sh",3,12,7,98.71793344,56.41559897
"265997","sh",3,12,8,95.69738354,54.86134922
"265998","sh",3,12,9,92.52112687,53.69947466
"265999","sh",3,12,10,89.24003853,52.80788188
"2659910","sh",3,12,11,85.88123254,52.42393676
"2659911","sh",3,12,12,82.51665646,52.67894833
"2659912","sh",3,12,13,79.25167648,53.67695819
"2659913","sh",3,12,14,76.14015964,55.14897771
"2659914","sh",3,12,15,73.17880345,56.80253679
"2659915","sh",3,12,16,70.38435087,58.67576684
"2659916","sh",3,12,17,67.49566723,59.98622037
"2659917","sh",3,12,18,64.95645512,62.02079841
"2659918","sh",3,12,19,62.50623152,64.02296947
"2659919","sh",3,12,20,60.24904277,66.22019723
"26799","sh",3,13,1,115.14431942,65.84685185
"267991","sh",3,13,2,112.46056069,64.38361343
"267992","sh",3,13,3,109.75354082,62.95279057
"267993","sh",3,13,4,107.12943835,61.28392359
"267994","sh",3,13,5,104.40618483,59.66289605
"267995","sh",3,13,6,101.66861605,57.83718217
"267996","sh",3,13,7,98.85487217,55.75658027
"267997","sh",3,13,8,95.8442249,53.88178894
"267998","sh",3,13,9,92.67201465,52.0777745
"267999","sh",3,13,10,89.31935652,50.65252961
"2679910","sh",3,13,11,85.83270767,49.90066938
"2679911","sh",3,13,12,82.31133161,49.95736441
"2679912","sh",3,13,13,78.86054239,50.71632355
"2679913","sh",3,13,14,75.54856831,52.02934405
"2679914","sh",3,13,15,72.42843223,53.78057275
"2679915","sh",3,13,16,69.48942748,55.77703864
"2679916","sh",3,13,17,66.68848053,57.81225909
"2679917","sh",3,13,18,64.06250511,59.97237505
"2679918","sh",3,13,19,61.73337799,62.49197902
"2679919","sh",3,13,20,59.56146168,65.0292831
"26999","sh",3,14,1,114.65919227,66.65422122
"269991","sh",3,14,2,112.10558949,65.05716953
"269992","sh",3,14,3,109.59535648,63.29867963
"269993","sh",3,14,4,107.0098488,61.58950959
"269994","sh",3,14,5,104.3485346,59.83868927
"269995","sh",3,14,6,101.62427243,58.00323567
"269996","sh",3,14,7,98.82721555,55.88967796
"269997","sh",3,14,8,95.85531912,53.80778079
"269998","sh",3,14,9,92.6974577,51.80431959
"269999","sh",3,14,10,89.35077893,49.79867101
"2699910","sh",3,14,11,85.80235422,48.32230647
"2699911","sh",3,14,12,82.1006139,47.16429811
"2699912","sh",3,14,13,78.36565032,46.97030739
"2699913","sh",3,14,14,74.7484181,47.80991861
"2699914","sh",3,14,15,71.26704482,49.10332655
"2699915","sh",3,14,16,68.02977964,51.04912294
"2699916","sh",3,14,17,65.07830137,53.47563273
"2699917","sh",3,14,18,62.43025048,56.23217874
"2699918","sh",3,14,19,60.0236046,59.10498963
"2699919","sh",3,14,20,57.94112376,62.222802
"27199","sh",3,15,1,114.42496221,67.04403692
"271991","sh",3,15,2,112.21945358,64.84111298
"271992","sh",3,15,3,109.93479566,62.55645506
"271993","sh",3,15,4,107.5605778,60.1822372
"271994","sh",3,15,5,105.04279117,57.72168822
"271995","sh",3,15,6,102.33383024,55.34615559
"271996","sh",3,15,7,99.46229428,52.83335657
"271997","sh",3,15,8,96.39183072,50.22877921
"271998","sh",3,15,9,93.05109809,48.00349025
"271999","sh",3,15,10,89.48925364,46.03582022
"2719910","sh",3,15,11,85.72892183,44.50386097
"2719911","sh",3,15,12,81.82751366,43.54435034
"2719912","sh",3,15,13,77.9037015,43.47365062
"2719913","sh",3,15,14,74.10593106,44.42189704
"2719914","sh",3,15,15,70.52429108,46.11204032
"2719915","sh",3,15,16,67.16136124,48.23624652
"2719916","sh",3,15,17,64.17246421,51.03598041
"2719917","sh",3,15,18,61.38540595,53.83799123
"2719918","sh",3,15,19,59.00650522,57.0901584
"2719919","sh",3,15,20,57.05541595,60.68872556
"27399","sh",3,16,1,116.00526171,64.41403484
"273991","sh",3,16,2,113.50040792,62.41050841
"273992","sh",3,16,3,110.98622184,60.25738524
"273993","sh",3,16,4,108.50947962,57.75751771
"273994","sh",3,16,5,105.97767785,54.87093226
"273995","sh",3,16,6,103.36536561,51.48336667
"273996","sh",3,16,7,100.43469216,48.15368416
"273997","sh",3,16,8,97.14530612,45.2024393
"273998","sh",3,16,9,93.50564147,43.11818355
"273999","sh",3,16,10,89.63566296,42.05735775
"2739910","sh",3,16,11,85.67188888,41.53817829
"2739911","sh",3,16,12,81.67607705,41.53705584
"2739912","sh",3,16,13,77.77921294,42.53135192
"2739913","sh",3,16,14,74.09858712,44.38317029
"2739914","sh",3,16,15,70.61327321,46.47039734
"2739915","sh",3,16,16,67.40753513,49.03362335
"2739916","sh",3,16,17,64.51123423,51.94837516
"2739917","sh",3,16,18,62.12721818,55.53780161
"2739918","sh",3,16,19,60.05085998,59.15898138
"2739919","sh",3,16,20,58.39597289,63.01061636
"27599","sh",3,17,1,115.91020117,64.57223867
"275991","sh",3,17,2,113.46531857,62.47709028
"275992","sh",3,17,3,110.99137733,60.24611215
"275993","sh",3,17,4,108.6197335,57.47578708
"275994","sh",3,17,5,106.19022339,54.22281577
"275995","sh",3,17,6,103.44625034,51.18047773
"275996","sh",3,17,7,100.33270384,48.64450375
"275997","sh",3,17,8,96.9521118,46.49121442
"275998","sh",3,17,9,93.32336659,45.07722359
"275999","sh",3,17,10,89.55316929,44.29900447
"2759910","sh",3,17,11,85.72126069,44.105486
"2759911","sh",3,17,12,81.91179914,44.66155562
"2759912","sh",3,17,13,78.24122436,46.0284826
"2759913","sh",3,17,14,74.73306134,47.72893795
"2759914","sh",3,17,15,71.48221504,49.96987984
"2759915","sh",3,17,16,68.49238775,52.54754749
"2759916","sh",3,17,17,65.80867196,55.44270847
"2759917","sh",3,17,18,63.45229128,58.57411313
"2759918","sh",3,17,19,61.41004919,61.85147824
"2759919","sh",3,17,20,59.58659798,65.07282003
"27799","sh",4,1,1,115.74217024,64.85188293
"277991","sh",4,1,2,112.92417851,63.50390088
"277992","sh",4,1,3,110.1724438,62.03680881
"277993","sh",4,1,4,107.34826569,60.72475623
"277994","sh",4,1,5,104.43831356,59.5649257
"277995","sh",4,1,6,101.53927704,58.32151776
"277996","sh",4,1,7,98.64628492,56.76040806
"277997","sh",4,1,8,95.66100909,55.10399859
"277998","sh",4,1,9,92.50912579,53.82845891
"277999","sh",4,1,10,89.23670109,52.89857194
"2779910","sh",4,1,11,85.8780556,52.25873782
"2779911","sh",4,1,12,82.47698857,52.15314982
"2779912","sh",4,1,13,79.10883388,52.59573118
"2779913","sh",4,1,14,75.77674971,53.23261113
"2779914","sh",4,1,15,72.52567175,54.17218472
"2779915","sh",4,1,16,69.41634118,55.54030629
"2779916","sh",4,1,17,66.4585234,57.19292542
"2779917","sh",4,1,18,63.70643544,59.15646654
"2779918","sh",4,1,19,61.16083714,61.35779961
"2779919","sh",4,1,20,58.87615545,63.8423091
"279991","sh",4,2,1,116.75881718,63.15993558
"279992","sh",4,2,2,113.83480864,61.77598469
"279993","sh",4,2,3,110.9533039,60.32936429
"279994","sh",4,2,4,108.08626761,58.8389472
"279995","sh",4,2,5,105.0437066,57.71889681
"279996","sh",4,2,6,101.98828112,56.64013287
"279997","sh",4,2,7,98.90835045,55.49921564
"279998","sh",4,2,8,95.78373923,54.28528122
"279999","sh",4,2,9,92.55577578,53.32707778
"2799910","sh",4,2,10,89.2466904,52.62712669
"2799911","sh",4,2,11,85.8770627,52.20710759
"2799912","sh",4,2,12,82.47919959,52.18245701
"2799913","sh",4,2,13,79.11169755,52.6174073
"2799914","sh",4,2,14,75.79770674,53.34312365
"2799915","sh",4,2,15,72.60478944,54.49081473
"2799916","sh",4,2,16,69.56143884,56.01028919
"2799917","sh",4,2,17,66.63405054,57.66566513
"2799918","sh",4,2,18,63.83622957,59.45388063
"2799919","sh",4,2,19,61.31195643,61.65716059
"2799920","sh",4,2,20,59.04735739,64.13883676
"28199","sh",4,3,1,117.67469112,61.63569896
"281991","sh",4,3,2,114.59140051,60.34035534
"281992","sh",4,3,3,111.6264984,58.85734354
"281993","sh",4,3,4,108.57735039,57.5840882
"281994","sh",4,3,5,105.46831855,56.42412486
"281995","sh",4,3,6,102.30891649,55.43945009
"281996","sh",4,3,7,99.10007928,54.57651915
"281997","sh",4,3,8,95.86526331,53.74144433
"281998","sh",4,3,9,92.56112365,53.26960026
"281999","sh",4,3,10,89.23899306,52.83629092
"2819910","sh",4,3,11,85.88213203,52.47070971
"2819911","sh",4,3,12,82.48185989,52.21771925
"2819912","sh",4,3,13,79.11073972,52.61015715
"2819913","sh",4,3,14,75.81021367,53.40907634
"2819914","sh",4,3,15,72.6498749,54.67238707
"2819915","sh",4,3,16,69.58271937,56.07921851
"2819916","sh",4,3,17,66.54938492,57.43763887
"2819917","sh",4,3,18,63.59945418,58.91132652
"2819918","sh",4,3,19,60.91842606,60.87759342
"2819919","sh",4,3,20,58.52955564,63.24198629
"28399","sh",4,4,1,118.32004508,60.56167328
"283991","sh",4,4,2,115.14748088,59.28519556
"283992","sh",4,4,3,112.07039447,57.88671139
"283993","sh",4,4,4,109.01894803,56.45567812
"283994","sh",4,4,5,105.85928362,55.23195253
"283995","sh",4,4,6,102.69595427,53.99011031
"283996","sh",4,4,7,99.40108764,53.12791405
"283997","sh",4,4,8,96.09554889,52.20523812
"283998","sh",4,4,9,92.70382221,51.73591561
"283999","sh",4,4,10,89.27136308,51.95668229
"2839910","sh",4,4,11,85.875431,52.12226
"2839911","sh",4,4,12,82.52529392,52.79343804
"2839912","sh",4,4,13,79.24612362,53.63492656
"2839913","sh",4,4,14,76.12103535,55.04812972
"2839914","sh",4,4,15,73.02451406,56.18116837
"2839915","sh",4,4,16,70.14550398,57.90212272
"2839916","sh",4,4,17,67.27657072,59.39613713
"2839917","sh",4,4,18,64.56014549,61.11268286
"2839918","sh",4,4,19,61.98267112,62.98581828
"2839919","sh",4,4,20,59.5159469,64.95044994
"28599","sh",4,5,1,118.34394585,60.52189659
"285991","sh",4,5,2,115.28003184,59.03368077
"285992","sh",4,5,3,112.38957287,57.18878942
"285993","sh",4,5,4,109.39900671,55.48451791
"285994","sh",4,5,5,106.12830052,54.41163756
"285995","sh",4,5,6,102.7836403,53.66175257
"285996","sh",4,5,7,99.3425149,53.40979581
"285997","sh",4,5,8,95.92554271,53.339328
"285998","sh",4,5,9,92.57792963,53.0889743
"285999","sh",4,5,10,89.24116424,52.77729216
"2859910","sh",4,5,11,85.88367377,52.5508796
"2859911","sh",4,5,12,82.51887853,52.70840197
"2859912","sh",4,5,13,79.23124753,53.52232413
"2859913","sh",4,5,14,76.08090627,54.83651738
"2859914","sh",4,5,15,73.07834088,56.39794469
"2859915","sh",4,5,16,70.15077364,57.91919158
"2859916","sh",4,5,17,67.26660694,59.3693021
"2859917","sh",4,5,18,64.4687476,60.90325106
"2859918","sh",4,5,19,61.90322159,62.82843209
"2859919","sh",4,5,20,59.79857518,65.43997185
"28799","sh",4,6,1,117.74089364,61.5255219
"287991","sh",4,6,2,114.858637,59.8332754
"287992","sh",4,6,3,111.94498698,58.16092995
"287993","sh",4,6,4,109.04571084,56.38729136
"287994","sh",4,6,5,106.02682231,54.72107572
"287995","sh",4,6,6,102.80501302,53.58171817
"287996","sh",4,6,7,99.40721017,53.09844931
"287997","sh",4,6,8,95.97274045,53.0244778
"287998","sh",4,6,9,92.58709299,52.99048897
"287999","sh",4,6,10,89.24297809,52.72800358
"2879910","sh",4,6,11,85.88275791,52.5032552
"2879911","sh",4,6,12,82.51587777,52.66862685
"2879912","sh",4,6,13,79.20210326,53.30172067
"2879913","sh",4,6,14,76.02281649,54.53019306
"2879914","sh",4,6,15,73.00387205,56.09803697
"2879915","sh",4,6,16,70.09263677,57.73088164
"2879916","sh",4,6,17,67.3227685,59.52055963
"2879917","sh",4,6,18,64.69367753,61.41866211
"2879918","sh",4,6,19,62.26227546,63.53970275
"2879919","sh",4,6,20,60.18821511,66.11484163
"28999","sh",4,7,1,117.93186681,61.20769617
"289991","sh",4,7,2,115.00817369,59.54953026
"289992","sh",4,7,3,111.97382752,58.09786663
"289993","sh",4,7,4,109.06895264,56.32790182
"289994","sh",4,7,5,106.04966701,54.65141522
"289995","sh",4,7,6,102.83261529,53.47835597
"289996","sh",4,7,7,99.49586808,52.67178243
"289997","sh",4,7,8,96.0849449,52.27597602
"289998","sh",4,7,9,92.6662435,52.13980113
"289999","sh",4,7,10,89.26419964,52.1513384
"2899910","sh",4,7,11,85.87813103,52.26266015
"2899911","sh",4,7,12,82.52400902,52.77640671
"2899912","sh",4,7,13,79.2652165,53.77944744
"2899913","sh",4,7,14,76.08110274,54.83755342
"2899914","sh",4,7,15,73.01012434,56.12321674
"2899915","sh",4,7,16,70.10479238,57.7702546
"2899916","sh",4,7,17,67.41239,59.76193337
"2899917","sh",4,7,18,64.97815288,62.07051732
"2899918","sh",4,7,19,62.83608901,64.67640332
"2899919","sh",4,7,20,60.96758732,67.46474115
"29199","sh",4,8,1,117.67371931,61.6373163
"291991","sh",4,8,2,114.65492847,60.21981134
"291992","sh",4,8,3,111.78796637,58.50427441
"291993","sh",4,8,4,109.03567238,56.41294255
"291994","sh",4,8,5,106.14360062,54.36498286
"291995","sh",4,8,6,102.99052636,52.88702665
"291996","sh",4,8,7,99.61554875,52.09581827
"291997","sh",4,8,8,96.14566662,51.870909
"291998","sh",4,8,9,92.69446019,51.83653597
"291999","sh",4,8,10,89.27368051,51.89370941
"2919910","sh",4,8,11,85.87771699,52.24112994
"2919911","sh",4,8,12,82.52431015,52.78039814
"2919912","sh",4,8,13,79.2698883,53.81480998
"2919913","sh",4,8,14,76.1460935,55.1802687
"2919914","sh",4,8,15,73.17153514,56.77326519
"2919915","sh",4,8,16,70.31999614,58.46731676
"2919916","sh",4,8,17,67.70022074,60.53713554
"2919917","sh",4,8,18,65.32177432,62.85790159
"2919918","sh",4,8,19,63.19592429,65.38922193
"2919919","sh",4,8,20,61.28570417,68.0157305
"29399","sh",4,9,1,117.98832557,61.11373508
"293991","sh",4,9,2,114.92309256,59.7109713
"293992","sh",4,9,3,111.8864858,58.28884981
"293993","sh",4,9,4,108.9737161,56.57125881
"293994","sh",4,9,5,106.16312551,54.30544551
"293995","sh",4,9,6,103.0158699,52.79212274
"293996","sh",4,9,7,99.675217,51.80866434
"293997","sh",4,9,8,96.18770831,51.5904542
"293998","sh",4,9,9,92.69783362,51.80027933
"293999","sh",4,9,10,89.26437397,52.14660117
"2939910","sh",4,9,11,85.88273007,52.50180753
"2939911","sh",4,9,12,82.54545793,53.06071224
"2939912","sh",4,9,13,79.30967747,54.11598853
"2939913","sh",4,9,14,76.20767644,55.50501347
"2939914","sh",4,9,15,73.25162723,57.0958194
"2939915","sh",4,9,16,70.4254936,58.80903144
"2939916","sh",4,9,17,67.84068735,60.91544821
"2939917","sh",4,9,18,65.4870264,63.23656507
"2939918","sh",4,9,19,63.37021596,65.73448643
"2939919","sh",4,9,20,61.470278,68.33541872
"29599","sh",4,10,1,117.98968036,61.11148038
"295991","sh",4,10,2,114.92576767,59.70589529
"295992","sh",4,10,3,111.88545091,58.29111274
"295993","sh",4,10,4,109.05200222,56.37121505
"295994","sh",4,10,5,106.30873147,53.86144831
"295995","sh",4,10,6,103.05754993,52.63604359
"295996","sh",4,10,7,99.69944872,51.69204897
"295997","sh",4,10,8,96.25643249,51.13200382
"295998","sh",4,10,9,92.75022227,51.2372205
"295999","sh",4,10,10,89.28501277,51.5857715
"2959910","sh",4,10,11,85.87407838,52.05192408
"2959911","sh",4,10,12,82.53747045,52.95483814
"2959912","sh",4,10,13,79.30821534,54.10492113
"2959913","sh",4,10,14,76.20779467,55.50563692
"2959914","sh",4,10,15,73.25187652,57.09682338
"2959915","sh",4,10,16,70.42739995,58.81520624
"2959916","sh",4,10,17,67.84682859,60.93198815
"2959917","sh",4,10,18,65.49673597,63.25881386
"2959918","sh",4,10,19,63.38521356,65.76419605
"2959919","sh",4,10,20,61.55839626,68.48804259
"29799","sh",4,11,1,118.13788464,60.86483248
"297991","sh",4,11,2,114.90771176,59.74015628
"297992","sh",4,11,3,111.83359988,58.40449124
"297993","sh",4,11,4,108.79029732,57.03994701
"297994","sh",4,11,5,105.76687354,55.51373917
"297995","sh",4,11,6,102.68655914,54.02529222
"297996","sh",4,11,7,99.55717519,52.37674147
"297997","sh",4,11,8,96.23827353,51.25313991
"297998","sh",4,11,9,92.77210308,51.00205166
"297999","sh",4,11,10,89.2935327,51.35425482
"2979910","sh",4,11,11,85.87388459,52.04184744
"2979911","sh",4,11,12,82.52162425,52.74479642
"2979912","sh",4,11,13,79.26638855,53.7883191
"2979913","sh",4,11,14,76.14319476,55.16498279
"2979914","sh",4,11,15,73.16702413,56.75509801
"2979915","sh",4,11,16,70.3179469,58.46067908
"2979916","sh",4,11,17,67.70108893,60.53947378
"2979917","sh",4,11,18,65.32405756,62.86313348
"2979918","sh",4,11,19,63.20138098,65.4000314
"2979919","sh",4,11,20,61.36991414,68.16158507
"299991","sh",4,12,1,118.26422244,60.65457571
"299992","sh",4,12,2,115.14053807,59.2983695
"299993","sh",4,12,3,111.94750528,58.15542339
"299994","sh",4,12,4,108.82808584,56.94338638
"299995","sh",4,12,5,105.68845477,55.75286204
"299996","sh",4,12,6,102.53557673,54.59067582
"299997","sh",4,12,7,99.33282776,53.45641525
"299998","sh",4,12,8,96.02625185,52.66750999
"299999","sh",4,12,9,92.66544671,52.14836488
"2999910","sh",4,12,10,89.27498417,51.8582843
"2999911","sh",4,12,11,85.87224003,51.95633085
"2999912","sh",4,12,12,82.50111268,52.47291536
"2999913","sh",4,12,13,79.22694937,53.48978975
"2999914","sh",4,12,14,76.08258699,54.84538032
"2999915","sh",4,12,15,73.11271189,56.53636675
"2999916","sh",4,12,16,70.37417608,58.64280988
"2999917","sh",4,12,17,67.82913796,60.88434276
"2999918","sh",4,12,18,65.47825895,63.21647508
"2999919","sh",4,12,19,63.36704588,65.72820662
"2999920","sh",4,12,20,61.47083633,68.33638578
"30199","sh",4,13,1,115.90098574,64.58757538
"301991","sh",4,13,2,112.99169236,63.37579369
"301992","sh",4,13,3,110.36319211,61.61971468
"301993","sh",4,13,4,107.61663279,60.03900042
"301994","sh",4,13,5,104.66574205,58.87142654
"301995","sh",4,13,6,101.75514038,57.51317463
"301996","sh",4,13,7,98.79604623,56.03968057
"301997","sh",4,13,8,95.73847192,54.58725381
"301998","sh",4,13,9,92.5733946,53.13771552
"301999","sh",4,13,10,89.26495795,52.13073249
"3019910","sh",4,13,11,85.87085517,51.884319
"3019911","sh",4,13,12,82.48082778,52.2040387
"3019912","sh",4,13,13,79.18854317,53.19907942
"3019913","sh",4,13,14,76.02645555,54.54938286
"3019914","sh",4,13,15,73.03037725,56.20478112
"3019915","sh",4,13,16,70.26285649,58.28223685
"3019916","sh",4,13,17,67.36475633,59.63364367
"3019917","sh",4,13,18,64.91337326,61.92207938
"3019918","sh",4,13,19,62.36086307,63.73500067
"3019919","sh",4,13,20,60.10141742,65.96450504
"30399","sh",4,14,1,114.35151005,67.16627914
"303991","sh",4,14,2,111.75998358,65.71295505
"303992","sh",4,14,3,109.15590344,64.25959656
"303993","sh",4,14,4,106.81118169,62.09716169
"303994","sh",4,14,5,104.4362003,59.5713697
"303995","sh",4,14,6,101.68942588,57.75925564
"303996","sh",4,14,7,98.81878157,55.93026655
"303997","sh",4,14,8,95.78969707,54.24553721
"303998","sh",4,14,9,92.58481375,53.0149857
"303999","sh",4,14,10,89.25952741,52.27829957
"3039910","sh",4,14,11,85.8727046,51.9804884
"3039911","sh",4,14,12,82.47057711,52.06816591
"3039912","sh",4,14,13,79.10874837,52.59508393
"3039913","sh",4,14,14,75.82710641,53.49815672
"3039914","sh",4,14,15,72.65981636,54.71242421
"3039915","sh",4,14,16,69.60438979,56.14941073
"3039916","sh",4,14,17,66.66343865,57.74481487
"3039917","sh",4,14,18,63.95578905,59.72784273
"3039918","sh",4,14,19,61.52564734,62.08047333
"3039919","sh",4,14,20,59.31320075,64.59928661
"30599","sh",4,15,1,115.03364893,66.03103441
"305991","sh",4,15,2,112.74283956,63.84799065
"305992","sh",4,15,3,110.30692193,61.7427562
"305993","sh",4,15,4,107.84932228,59.44441128
"305994","sh",4,15,5,105.16468986,57.34998177
"305995","sh",4,15,6,102.36246452,55.23892887
"305996","sh",4,15,7,99.46540778,52.81837286
"305997","sh",4,15,8,96.30514053,50.80707858
"305998","sh",4,15,9,92.9867736,48.69483213
"305999","sh",4,15,10,89.45759742,46.89603241
"3059910","sh",4,15,11,85.74729213,45.45910698
"3059911","sh",4,15,12,81.9207903,44.78073352
"3059912","sh",4,15,13,78.0799641,44.80784566
"3059913","sh",4,15,14,74.36391795,45.78233717
"3059914","sh",4,15,15,70.92995305,47.74575955
"3059915","sh",4,15,16,67.78089162,50.24295478
"3059916","sh",4,15,17,65.00033763,53.26565633
"3059917","sh",4,15,18,62.5159142,56.42847111
"3059918","sh",4,15,19,60.32576368,59.70355409
"3059919","sh",4,15,20,58.49867968,63.18850806
"30799","sh",4,16,1,114.56927573,66.80386417
"307991","sh",4,16,2,112.15771974,64.95825264
"307992","sh",4,16,3,109.72344698,63.01859436
"307993","sh",4,16,4,107.43223265,60.51019629
"307994","sh",4,16,5,105.16526132,57.34823921
"307995","sh",4,16,6,102.47429167,54.8201699
"307996","sh",4,16,7,99.7167617,51.60873014
"307997","sh",4,16,8,96.57808468,48.98630239
"307998","sh",4,16,9,93.16629011,46.76543821
"307999","sh",4,16,10,89.53781402,44.71626196
"3079910","sh",4,16,11,85.70137509,43.07144528
"3079911","sh",4,16,12,81.73611049,42.3328
"3079912","sh",4,16,13,77.80109949,42.69701907
"3079913","sh",4,16,14,73.98417632,43.77984879
"3079914","sh",4,16,15,70.53458126,46.15348189
"3079915","sh",4,16,16,67.5842855,49.60613188
"3079916","sh",4,16,17,65.08566674,53.49546956
"3079917","sh",4,16,18,62.93608943,57.391273
"3079918","sh",4,16,19,61.03132478,61.10124105
"3079919","sh",4,16,20,59.26429329,64.5145772
"30999","sh",4,17,1,115.41741812,65.39234931
"309991","sh",4,17,2,112.96402826,63.42828618
"309992","sh",4,17,3,110.58819954,61.12770888
"309993","sh",4,17,4,108.42154187,57.98222418
"309994","sh",4,17,5,106.2991723,53.89059714
"309995","sh",4,17,6,103.62467464,50.51233253
"309996","sh",4,17,7,100.4948561,47.86414476
"309997","sh",4,17,8,97.06040527,45.76880225
"309998","sh",4,17,9,93.39754616,44.2799621
"309999","sh",4,17,10,89.59859568,43.06460786
"3099910","sh",4,17,11,85.68717023,42.3328
"3099911","sh",4,17,12,81.74887303,42.50196758
"3099912","sh",4,17,13,77.86946047,43.21446796
"3099913","sh",4,17,14,74.17813947,44.80267304
"3099914","sh",4,17,15,70.84711189,47.41213401
"3099915","sh",4,17,16,67.83947407,50.43270802
"3099916","sh",4,17,17,65.18321247,53.75818528
"3099917","sh",4,17,18,62.91443777,57.34165976
"3099918","sh",4,17,19,61.20548017,61.44623559
"3099919","sh",4,17,20,59.7213436,65.30620409
"31199","sh",4,18,1,115.33494512,65.52960441
"311991","sh",4,18,2,112.92303464,63.50607137
"311992","sh",4,18,3,110.69663176,60.89060878
"311993","sh",4,18,4,108.61107754,57.49790555
"311994","sh",4,18,5,106.33399124,53.78442353
"311995","sh",4,18,6,103.74063232,50.07810598
"311996","sh",4,18,7,100.63358793,47.19649669
"311997","sh",4,18,8,97.09703055,45.52447957
"311998","sh",4,18,9,93.39449188,44.3127886
"311999","sh",4,18,10,89.57209057,43.78484611
"3119910","sh",4,18,11,85.72155717,44.12090246
"3119911","sh",4,18,12,81.95000854,45.16802182
"3119912","sh",4,18,13,78.30011559,46.4742515
"3119913","sh",4,18,14,74.82046934,48.18986585
"3119914","sh",4,18,15,71.63455977,50.58341657
"3119915","sh",4,18,16,68.71586068,53.27139412
"3119916","sh",4,18,17,65.98908646,55.92861109
"3119917","sh",4,18,18,63.53883374,58.77241907
"3119918","sh",4,18,19,61.52504132,62.07927281
"3119919","sh",4,18,20,59.9669746,65.73164545
"31399","sh",5,1,1,114.75064089,66.50202852
"313991","sh",5,1,2,111.974957,65.30504404
"313992","sh",5,1,3,109.22728946,64.10350246
"313993","sh",5,1,4,106.49564706,62.90344421
"313994","sh",5,1,5,103.78599783,61.55403627
"313995","sh",5,1,6,101.06846693,60.08455967
"313996","sh",5,1,7,98.323488,58.31387073
"313997","sh",5,1,8,95.42745046,56.66203891
"313998","sh",5,1,9,92.38217408,55.19290088
"313999","sh",5,1,10,89.19581829,54.00950303
"3139910","sh",5,1,11,85.89653264,53.2195337
"3139911","sh",5,1,12,82.52588916,52.80132796
"3139912","sh",5,1,13,79.13927504,52.82615128
"3139913","sh",5,1,14,75.81921277,53.45653123
"3139914","sh",5,1,15,72.55664505,54.29692322
"3139915","sh",5,1,16,69.37798179,55.41605717
"3139916","sh",5,1,17,66.33922586,56.8716265
"3139917","sh",5,1,18,63.42828185,58.5190972
"3139918","sh",5,1,19,60.80478507,60.65247539
"3139919","sh",5,1,20,58.45463842,63.11222708
"31599","sh",5,2,1,117.36567209,62.14998167
"315991","sh",5,2,2,114.27170878,60.94696882
"315992","sh",5,2,3,111.21495448,59.75723382
"315993","sh",5,2,4,108.19192401,58.56896444
"315994","sh",5,2,5,105.16196065,57.35830397
"315995","sh",5,2,6,102.08162503,56.29058806
"315996","sh",5,2,7,98.94316409,55.3316747
"315997","sh",5,2,8,95.76310276,54.42294453
"315998","sh",5,2,9,92.52376326,53.67113952
"315999","sh",5,2,10,89.23032396,53.0718612
