"X","speaker","segment","repetition","frame","VO","PV","MC","FV","KC"
37399,1,"sh",2,2,NA,NA,NA,NA,NA
37599,1,"sh",2,3,NA,NA,NA,NA,NA
37799,1,"sh",2,4,"VO",NA,NA,NA,NA
37999,1,"sh",2,5,NA,NA,NA,NA,NA
38199,1,"sh",2,6,"","PV",NA,NA,NA
38399,1,"sh",2,7,NA,NA,NA,NA,NA
38599,1,"sh",2,8,NA,NA,NA,NA,NA
38799,1,"sh",2,9,NA,NA,NA,NA,NA
38999,1,"sh",2,10,NA,NA,NA,NA,NA
39199,1,"sh",2,11,NA,NA,NA,NA,NA
39399,1,"sh",2,12,"","","MC",NA,NA
39599,1,"sh",2,13,NA,NA,NA,NA,NA
39799,1,"sh",2,14,"","","","FV",NA
39999,1,"sh",2,15,NA,NA,NA,NA,NA
40199,1,"sh",2,16,NA,NA,NA,NA,NA
40399,1,"sh",2,17,NA,NA,NA,NA,NA
40599,1,"sh",2,18,"","","","","KC"
40799,1,"sh",2,19,NA,NA,NA,NA,NA
40999,1,"sh",3,1,NA,NA,NA,NA,NA
41199,1,"sh",3,2,NA,NA,NA,NA,NA
41399,1,"sh",3,3,NA,NA,NA,NA,NA
41599,1,"sh",3,4,"VO",NA,NA,NA,NA
41799,1,"sh",3,5,NA,NA,NA,NA,NA
41999,1,"sh",3,6,"","PV",NA,NA,NA
42199,1,"sh",3,7,NA,NA,NA,NA,NA
42399,1,"sh",3,8,NA,NA,NA,NA,NA
42599,1,"sh",3,9,NA,NA,NA,NA,NA
42799,1,"sh",3,10,"","","MC",NA,NA
42999,1,"sh",3,11,NA,NA,NA,NA,NA
43199,1,"sh",3,12,"","","","FV",NA
43399,1,"sh",3,13,NA,NA,NA,NA,NA
43599,1,"sh",3,14,NA,NA,NA,NA,NA
43799,1,"sh",3,15,NA,NA,NA,NA,NA
43999,1,"sh",3,16,"","","","","KC"
44199,1,"sh",3,17,NA,NA,NA,NA,NA
44399,1,"sh",4,1,NA,NA,NA,NA,NA
44599,1,"sh",4,2,NA,NA,NA,NA,NA
44799,1,"sh",4,3,NA,NA,NA,NA,NA
44999,1,"sh",4,4,NA,NA,NA,NA,NA
45199,1,"sh",4,5,"VO",NA,NA,NA,NA
45399,1,"sh",4,6,"","PV",NA,NA,NA
45599,1,"sh",4,7,NA,NA,NA,NA,NA
45799,1,"sh",4,8,NA,NA,NA,NA,NA
45999,1,"sh",4,9,NA,NA,NA,NA,NA
46199,1,"sh",4,10,"","","MC",NA,NA
46399,1,"sh",4,11,NA,NA,NA,NA,NA
46599,1,"sh",4,12,NA,NA,NA,NA,NA
46799,1,"sh",4,13,NA,NA,NA,NA,NA
46999,1,"sh",4,14,"","","","FV",NA
47199,1,"sh",4,15,NA,NA,NA,NA,NA
47399,1,"sh",4,16,"","","","","KC"
47599,1,"sh",4,17,NA,NA,NA,NA,NA
47799,1,"sh",4,18,NA,NA,NA,NA,NA
47999,1,"sh",5,1,NA,NA,NA,NA,NA
48199,1,"sh",5,2,NA,NA,NA,NA,NA
48399,1,"sh",5,3,NA,NA,NA,NA,NA
48599,1,"sh",5,4,"VO",NA,NA,NA,NA
48799,1,"sh",5,5,NA,NA,NA,NA,NA
48999,1,"sh",5,6,"","PV",NA,NA,NA
49199,1,"sh",5,7,NA,NA,NA,NA,NA
49399,1,"sh",5,8,NA,NA,NA,NA,NA
49599,1,"sh",5,9,NA,NA,NA,NA,NA
49799,1,"sh",5,10,NA,NA,NA,NA,NA
49999,1,"sh",5,11,"","","MC",NA,NA
50199,1,"sh",5,12,NA,NA,NA,NA,NA
50399,1,"sh",5,13,"","","","FV",NA
50599,1,"sh",5,14,NA,NA,NA,NA,NA
50799,1,"sh",5,15,NA,NA,NA,NA,NA
50999,1,"sh",5,16,"","","","","KC"
51199,1,"sh",5,17,NA,NA,NA,NA,NA
51399,1,"sh",5,18,NA,NA,NA,NA,NA
