,speaker,segment,repetition,frame,coord,point,pixel,mm
3521,1,pal,1,1,y,22,145,38.3641
3522,1,pal,1,1,y,23,145,38.3641
3523,1,pal,1,1,y,24,145,38.3641
3524,1,pal,1,1,y,25,145,38.3641
3525,1,pal,1,1,y,26,144,38.09952
3526,1,pal,1,1,y,27,143,37.83494
3527,1,pal,1,1,y,28,143,37.83494
3528,1,pal,1,1,y,29,143,37.83494
3529,1,pal,1,1,y,30,143,37.83494
3530,1,pal,1,1,y,31,143,37.83494
3531,1,pal,1,1,y,32,143,37.83494
3532,1,pal,1,1,y,33,144,38.09952
3533,1,pal,1,1,y,34,144,38.09952
3534,1,pal,1,1,y,35,145,38.3641
3535,1,pal,1,1,y,36,145,38.3641
3536,1,pal,1,1,y,37,147,38.89326
3537,1,pal,1,1,y,38,148,39.15784
3538,1,pal,1,1,y,39,148,39.15784
3539,1,pal,1,1,y,40,148,39.15784
3540,1,pal,1,1,y,41,149,39.42242
3541,1,pal,1,1,y,42,149,39.42242
3542,1,pal,1,1,y,43,150,39.687
3543,1,pal,1,1,y,44,150,39.687
3544,1,pal,1,1,y,45,151,39.95158
3545,1,pal,1,1,y,46,152,40.21616
3546,1,pal,1,1,y,47,153,40.48074
3547,1,pal,1,1,y,48,155,41.0099
3548,1,pal,1,1,y,49,156,41.27448
3549,1,pal,1,1,y,50,158,41.80364
3550,1,pal,1,1,y,51,159,42.06822
3551,1,pal,1,1,y,52,160,42.3328
3552,1,pal,1,1,y,53,161,42.59738
3553,1,pal,1,1,y,54,161,42.59738
3554,1,pal,1,1,y,55,162,42.86196
3555,1,pal,1,1,y,56,162,42.86196
3556,1,pal,1,1,y,57,164,43.39112
3557,1,pal,1,1,y,58,164,43.39112
3558,1,pal,1,1,y,59,166,43.92028
3559,1,pal,1,1,y,60,166,43.92028
3560,1,pal,1,1,y,61,168,44.44944
3561,1,pal,1,1,y,62,170,44.9786
3562,1,pal,1,1,y,63,172,45.50776
3563,1,pal,1,1,y,64,172,45.50776
3564,1,pal,1,1,y,65,174,46.03692
3565,1,pal,1,1,y,66,177,46.83066
3566,1,pal,1,1,y,67,179,47.35982
3567,1,pal,1,1,y,68,182,48.15356
3568,1,pal,1,1,y,69,184,48.68272
3569,1,pal,1,1,y,70,187,49.47646
3570,1,pal,1,1,y,71,189,50.00562
3571,1,pal,1,1,y,72,192,50.79936
3572,1,pal,1,1,y,73,194,51.32852
3573,1,pal,1,1,y,74,196,51.85768
3574,1,pal,1,1,y,75,197,52.12226
3575,1,pal,1,1,y,76,200,52.916
3576,1,pal,1,1,y,77,202,53.44516
3577,1,pal,1,1,y,78,205,54.2389
3578,1,pal,1,1,y,79,207,54.76806
3579,1,pal,1,1,y,80,210,55.5618
3580,1,pal,1,1,y,81,212,56.09096
3581,1,pal,1,1,y,82,214,56.62012
3582,1,pal,1,1,y,83,216,57.14928
3583,1,pal,1,1,y,84,218,57.67844
3584,1,pal,1,1,y,85,221,58.47218
3585,1,pal,1,1,y,86,222,58.73676
3586,1,pal,1,1,y,87,224,59.26592
3587,1,pal,1,1,y,88,226,59.79508
3588,1,pal,1,1,y,89,227,60.05966
3589,1,pal,1,1,y,90,228,60.32424
3590,1,pal,1,1,y,91,230,60.8534
3591,1,pal,1,1,y,92,231,61.11798
3592,1,pal,1,1,y,93,234,61.91172
3593,1,pal,1,1,y,94,235,62.1763
3594,1,pal,1,1,y,95,236,62.44088
3595,1,pal,1,1,y,96,239,63.23462
3596,1,pal,1,1,y,97,240,63.4992
3597,1,pal,1,1,y,98,240,63.4992
3598,1,pal,1,1,y,99,242,64.02836
16799,1,s,1,1,x,1,179.58,47.5132764
16800,1,s,1,1,x,2,181.4,47.994812
16801,1,s,1,1,x,3,183.22,48.4763476
16802,1,s,1,1,x,4,185.04,48.9578832
16803,1,s,1,1,x,5,186.86,49.4394188
16804,1,s,1,1,x,6,188.68,49.9209544
16805,1,s,1,1,x,7,190.51,50.4051358
16806,1,s,1,1,x,8,192.56,50.9475248
16807,1,s,1,1,x,9,194.61,51.4899138
16808,1,s,1,1,x,10,196.65,52.029657
16809,1,s,1,1,x,11,198.72,52.5773376
16810,1,s,1,1,x,12,200.79,53.1250182
16811,1,s,1,1,x,13,202.86,53.6726988
16812,1,s,1,1,x,14,205.04,54.2494832
16813,1,s,1,1,x,15,207.21,54.8236218
16814,1,s,1,1,x,16,209.39,55.4004062
16815,1,s,1,1,x,17,211.45,55.945441
16816,1,s,1,1,x,18,213.51,56.4904758
16817,1,s,1,1,x,19,215.58,57.0381564
16818,1,s,1,1,x,20,217.67,57.5911286
16819,1,s,1,1,x,21,219.76,58.1441008
16820,1,s,1,1,x,22,221.86,58.6997188
16821,1,s,1,1,x,23,224.29,59.3426482
16822,1,s,1,1,x,24,226.73,59.9882234
16823,1,s,1,1,x,25,229.16,60.6311528
16824,1,s,1,1,x,26,231.97,61.3746226
16825,1,s,1,1,x,27,234.79,62.1207382
16826,1,s,1,1,x,28,237.6,62.864208
16827,1,s,1,1,x,29,240.62,63.6632396
16828,1,s,1,1,x,30,243.65,64.464917
16829,1,s,1,1,x,31,246.67,65.2639486
16830,1,s,1,1,x,32,249.9,66.118542
16831,1,s,1,1,x,33,253.14,66.9757812
16832,1,s,1,1,x,34,256.37,67.8303746
16833,1,s,1,1,x,35,259.73,68.7193634
16834,1,s,1,1,x,36,263.08,69.6057064
16835,1,s,1,1,x,37,266.44,70.4946952
16836,1,s,1,1,x,38,269.9,71.410142
16837,1,s,1,1,x,39,273.36,72.3255888
16838,1,s,1,1,x,40,276.82,73.2410356
16839,1,s,1,1,x,41,280.37,74.1802946
16840,1,s,1,1,x,42,283.92,75.1195536
16841,1,s,1,1,x,43,287.47,76.0588126
16842,1,s,1,1,x,44,291.09,77.0165922
16843,1,s,1,1,x,45,294.72,77.9770176
16844,1,s,1,1,x,46,298.34,78.9347972
16845,1,s,1,1,x,47,302.06,79.9190348
16846,1,s,1,1,x,48,305.78,80.9032724
16847,1,s,1,1,x,49,309.5,81.88751
16848,1,s,1,1,x,50,313.21,82.8691018
16849,1,s,1,1,x,51,316.92,83.8506936
16850,1,s,1,1,x,52,320.63,84.8322854
16851,1,s,1,1,x,53,324.25,85.790065
16852,1,s,1,1,x,54,327.87,86.7478446
16853,1,s,1,1,x,55,331.48,87.7029784
16854,1,s,1,1,x,56,335,88.6343
16855,1,s,1,1,x,57,338.51,89.5629758
16856,1,s,1,1,x,58,342.03,90.4942974
16857,1,s,1,1,x,59,345.39,91.3832862
16858,1,s,1,1,x,60,348.74,92.2696292
16859,1,s,1,1,x,61,352.1,93.158618
16860,1,s,1,1,x,62,355.48,94.0528984
16861,1,s,1,1,x,63,358.86,94.9471788
16862,1,s,1,1,x,64,362.24,95.8414592
16863,1,s,1,1,x,65,365.67,96.7489686
16864,1,s,1,1,x,66,369.09,97.6538322
16865,1,s,1,1,x,67,372.52,98.5613416
16866,1,s,1,1,x,68,375.96,99.4714968
16867,1,s,1,1,x,69,379.39,100.3790062
16868,1,s,1,1,x,70,382.83,101.2891614
16869,1,s,1,1,x,71,386.15,102.167567
16870,1,s,1,1,x,72,389.48,103.0486184
16871,1,s,1,1,x,73,392.8,103.927024
16872,1,s,1,1,x,74,396.17,104.8186586
16873,1,s,1,1,x,75,399.55,105.712939
16874,1,s,1,1,x,76,402.92,106.6045736
16875,1,s,1,1,x,77,406.35,107.512083
16876,1,s,1,1,x,78,409.78,108.4195924
16877,1,s,1,1,x,79,413.21,109.3271018
16878,1,s,1,1,x,80,416.54,110.2081532
16879,1,s,1,1,x,81,419.88,111.0918504
16880,1,s,1,1,x,82,423.2,111.970256
16881,1,s,1,1,x,83,426.53,112.8513074
16882,1,s,1,1,x,84,429.86,113.7323588
16883,1,s,1,1,x,85,433.19,114.6134102
16884,1,s,1,1,x,86,436.49,115.4865242
16885,1,s,1,1,x,87,439.8,116.362284
16886,1,s,1,1,x,88,443.11,117.2380438
16887,1,s,1,1,x,89,446.25,118.068825
16888,1,s,1,1,x,90,449.4,118.902252
16889,1,s,1,1,x,91,452.54,119.7330332
16890,1,s,1,1,x,92,455.66,120.5585228
16891,1,s,1,1,x,93,458.8,121.389304
16892,1,s,1,1,x,94,461.92,122.2147936
16893,1,s,1,1,x,95,465.15,123.069387
16894,1,s,1,1,x,96,468.38,123.9239804
16895,1,s,1,1,x,97,471.6,124.775928
16896,1,s,1,1,x,98,474.78,125.6172924
16897,1,s,1,1,x,99,477.96,126.4586568
16898,1,s,1,1,x,100,481.14,127.3000212
16899,1,s,1,1,y,1,305.43,80.8106694
16900,1,s,1,1,y,2,302.18,79.9507844
16901,1,s,1,1,y,3,298.92,79.0882536
16902,1,s,1,1,y,4,295.67,78.2283686
16903,1,s,1,1,y,5,292.42,77.3684836
16904,1,s,1,1,y,6,289.17,76.5085986
16905,1,s,1,1,y,7,285.92,75.6487136
16906,1,s,1,1,y,8,282.8,74.823224
16907,1,s,1,1,y,9,279.69,74.0003802
16908,1,s,1,1,y,10,276.57,73.1748906
16909,1,s,1,1,y,11,273.47,72.3546926
16910,1,s,1,1,y,12,270.37,71.5344946
16911,1,s,1,1,y,13,267.27,70.7142966
16912,1,s,1,1,y,14,264.24,69.9126192
16913,1,s,1,1,y,15,261.22,69.1135876
16914,1,s,1,1,y,16,258.19,68.3119102
16915,1,s,1,1,y,17,255.09,67.4917122
16916,1,s,1,1,y,18,251.98,66.6688684
16917,1,s,1,1,y,19,248.88,65.8486704
16918,1,s,1,1,y,20,245.79,65.0311182
16919,1,s,1,1,y,21,242.71,64.2162118
16920,1,s,1,1,y,22,239.62,63.3986596
16921,1,s,1,1,y,23,236.8,62.652544
16922,1,s,1,1,y,24,233.98,61.9064284
16923,1,s,1,1,y,25,231.16,61.1603128
16924,1,s,1,1,y,26,228.71,60.5120918
16925,1,s,1,1,y,27,226.26,59.8638708
16926,1,s,1,1,y,28,223.82,59.2182956
16927,1,s,1,1,y,29,221.64,58.6415112
16928,1,s,1,1,y,30,219.46,58.0647268
16929,1,s,1,1,y,31,217.28,57.4879424
16930,1,s,1,1,y,32,215.42,56.9958236
16931,1,s,1,1,y,33,213.57,56.5063506
16932,1,s,1,1,y,34,211.72,56.0168776
16933,1,s,1,1,y,35,210.09,55.5856122
16934,1,s,1,1,y,36,208.47,55.1569926
16935,1,s,1,1,y,37,206.84,54.7257272
16936,1,s,1,1,y,38,205.46,54.3606068
16937,1,s,1,1,y,39,204.08,53.9954864
16938,1,s,1,1,y,40,202.7,53.630366
16939,1,s,1,1,y,41,201.56,53.3287448
16940,1,s,1,1,y,42,200.42,53.0271236
16941,1,s,1,1,y,43,199.27,52.7228566
16942,1,s,1,1,y,44,198.41,52.4953178
16943,1,s,1,1,y,45,197.54,52.2651332
16944,1,s,1,1,y,46,196.67,52.0349486
16945,1,s,1,1,y,47,196.42,51.9688036
16946,1,s,1,1,y,48,196.18,51.9053044
16947,1,s,1,1,y,49,195.93,51.8391594
16948,1,s,1,1,y,50,196.28,51.9317624
16949,1,s,1,1,y,51,196.64,52.0270112
16950,1,s,1,1,y,52,196.99,52.1196142
16951,1,s,1,1,y,53,197.9,52.360382
16952,1,s,1,1,y,54,198.8,52.598504
16953,1,s,1,1,y,55,199.71,52.8392718
16954,1,s,1,1,y,56,200.94,53.1647052
16955,1,s,1,1,y,57,202.18,53.4927844
16956,1,s,1,1,y,58,203.42,53.8208636
16957,1,s,1,1,y,59,205.04,54.2494832
16958,1,s,1,1,y,60,206.66,54.6781028
16959,1,s,1,1,y,61,208.28,55.1067224
16960,1,s,1,1,y,62,209.86,55.5247588
16961,1,s,1,1,y,63,211.43,55.9401494
16962,1,s,1,1,y,64,213,56.35554
16963,1,s,1,1,y,65,214.46,56.7418268
16964,1,s,1,1,y,66,215.93,57.1307594
16965,1,s,1,1,y,67,217.4,57.519692
16966,1,s,1,1,y,68,218.84,57.9006872
16967,1,s,1,1,y,69,220.29,58.2843282
16968,1,s,1,1,y,70,221.74,58.6679692
16969,1,s,1,1,y,71,223.43,59.1151094
16970,1,s,1,1,y,72,225.11,59.5596038
16971,1,s,1,1,y,73,226.8,60.006744
16972,1,s,1,1,y,74,228.39,60.4274262
16973,1,s,1,1,y,75,229.97,60.8454626
16974,1,s,1,1,y,76,231.55,61.263499
16975,1,s,1,1,y,77,233.01,61.6497858
16976,1,s,1,1,y,78,234.47,62.0360726
16977,1,s,1,1,y,79,235.93,62.4223594
16978,1,s,1,1,y,80,237.6,62.864208
16979,1,s,1,1,y,81,239.27,63.3060566
16980,1,s,1,1,y,82,240.95,63.750551
16981,1,s,1,1,y,83,242.63,64.1950454
16982,1,s,1,1,y,84,244.31,64.6395398
16983,1,s,1,1,y,85,245.99,65.0840342
16984,1,s,1,1,y,86,247.71,65.5391118
16985,1,s,1,1,y,87,249.43,65.9941894
16986,1,s,1,1,y,88,251.14,66.4466212
16987,1,s,1,1,y,89,253.15,66.978427
16988,1,s,1,1,y,90,255.15,67.507587
16989,1,s,1,1,y,91,257.16,68.0393928
16990,1,s,1,1,y,92,259.19,68.5764902
16991,1,s,1,1,y,93,261.21,69.1109418
16992,1,s,1,1,y,94,263.24,69.6480392
