speaker,segment,repetition,frame,coord,point,pixel
1,pal,1,1,y,87,224
1,pal,1,1,y,88,226
1,pal,1,1,y,89,227
1,pal,1,1,y,90,228
1,pal,1,1,y,91,230
1,pal,1,1,y,92,231
1,pal,1,1,y,93,234
1,pal,1,1,y,94,235
1,pal,1,1,y,95,236
1,pal,1,1,y,96,239
1,pal,1,1,y,97,240
1,pal,1,1,y,98,240
1,pal,1,1,y,99,242
1,s,1,1,x,1,179.58
1,s,1,1,x,2,181.4
1,s,1,1,x,3,183.22
1,s,1,1,x,4,185.04
1,s,1,1,x,5,186.86
1,s,1,1,x,6,188.68
1,s,1,1,x,7,190.51
1,s,1,1,x,8,192.56
1,s,1,1,x,9,194.61
1,s,1,1,x,10,196.65
1,s,1,1,x,11,198.72
1,s,1,1,x,12,200.79
1,s,1,1,x,13,202.86
1,s,1,1,x,14,205.04
1,s,1,1,x,15,207.21
1,s,1,1,x,16,209.39
1,s,1,1,x,17,211.45
1,s,1,1,x,18,213.51
1,s,1,1,x,19,215.58
1,s,1,1,x,20,217.67
1,s,1,1,x,21,219.76
1,s,1,1,x,22,221.86
1,s,1,1,x,23,224.29
1,s,1,1,x,24,226.73
1,s,1,1,x,25,229.16
1,s,1,1,x,26,231.97
1,s,1,1,x,27,234.79
1,s,1,1,x,28,237.6
1,s,1,1,x,29,240.62
1,s,1,1,x,30,243.65
1,s,1,1,x,31,246.67
1,s,1,1,x,32,249.9
1,s,1,1,x,33,253.14
1,s,1,1,x,34,256.37
1,s,1,1,x,35,259.73
1,s,1,1,x,36,263.08
1,s,1,1,x,37,266.44
1,s,1,1,x,38,269.9
1,s,1,1,x,39,273.36
1,s,1,1,x,40,276.82
1,s,1,1,x,41,280.37
1,s,1,1,x,42,283.92
1,s,1,1,x,43,287.47
1,s,1,1,x,44,291.09
1,s,1,1,x,45,294.72
1,s,1,1,x,46,298.34
1,s,1,1,x,47,302.06
1,s,1,1,x,48,305.78
1,s,1,1,x,49,309.5
1,s,1,1,x,50,313.21
1,s,1,1,x,51,316.92
1,s,1,1,x,52,320.63
1,s,1,1,x,53,324.25
1,s,1,1,x,54,327.87
1,s,1,1,x,55,331.48
1,s,1,1,x,56,335
1,s,1,1,x,57,338.51
1,s,1,1,x,58,342.03
1,s,1,1,x,59,345.39
1,s,1,1,x,60,348.74
1,s,1,1,x,61,352.1
1,s,1,1,x,62,355.48
1,s,1,1,x,63,358.86
1,s,1,1,x,64,362.24
1,s,1,1,x,65,365.67
1,s,1,1,x,66,369.09
1,s,1,1,x,67,372.52
1,s,1,1,x,68,375.96
1,s,1,1,x,69,379.39
1,s,1,1,x,70,382.83
1,s,1,1,x,71,386.15
1,s,1,1,x,72,389.48
1,s,1,1,x,73,392.8
1,s,1,1,x,74,396.17
1,s,1,1,x,75,399.55
1,s,1,1,x,76,402.92
1,s,1,1,x,77,406.35
1,s,1,1,x,78,409.78
1,s,1,1,x,79,413.21
1,s,1,1,x,80,416.54
1,s,1,1,x,81,419.88
1,s,1,1,x,82,423.2
1,s,1,1,x,83,426.53
1,s,1,1,x,84,429.86
1,s,1,1,x,85,433.19
1,s,1,1,x,86,436.49
1,s,1,1,x,87,439.8
1,s,1,1,x,88,443.11
1,s,1,1,x,89,446.25
1,s,1,1,x,90,449.4
1,s,1,1,x,91,452.54
1,s,1,1,x,92,455.66
1,s,1,1,x,93,458.8
1,s,1,1,x,94,461.92
1,s,1,1,x,95,465.15
1,s,1,1,x,96,468.38
1,s,1,1,x,97,471.6
1,s,1,1,x,98,474.78
1,s,1,1,x,99,477.96
1,s,1,1,x,100,481.14
1,s,1,1,y,1,305.43
1,s,1,1,y,2,302.18
1,s,1,1,y,3,298.92
1,s,1,1,y,4,295.67
1,s,1,1,y,5,292.42
1,s,1,1,y,6,289.17
1,s,1,1,y,7,285.92
1,s,1,1,y,8,282.8
1,s,1,1,y,9,279.69
1,s,1,1,y,10,276.57
1,s,1,1,y,11,273.47
1,s,1,1,y,12,270.37
1,s,1,1,y,13,267.27
1,s,1,1,y,14,264.24
1,s,1,1,y,15,261.22
1,s,1,1,y,16,258.19
1,s,1,1,y,17,255.09
1,s,1,1,y,18,251.98
1,s,1,1,y,19,248.88
1,s,1,1,y,20,245.79
1,s,1,1,y,21,242.71
1,s,1,1,y,22,239.62
1,s,1,1,y,23,236.8
1,s,1,1,y,24,233.98
1,s,1,1,y,25,231.16
1,s,1,1,y,26,228.71
1,s,1,1,y,27,226.26
1,s,1,1,y,28,223.82
1,s,1,1,y,29,221.64
1,s,1,1,y,30,219.46
1,s,1,1,y,31,217.28
1,s,1,1,y,32,215.42
1,s,1,1,y,33,213.57
1,s,1,1,y,34,211.72
1,s,1,1,y,35,210.09
1,s,1,1,y,36,208.47
1,s,1,1,y,37,206.84
1,s,1,1,y,38,205.46
1,s,1,1,y,39,204.08
1,s,1,1,y,40,202.7
1,s,1,1,y,41,201.56
1,s,1,1,y,42,200.42
1,s,1,1,y,43,199.27
1,s,1,1,y,44,198.41
1,s,1,1,y,45,197.54
1,s,1,1,y,46,196.67
1,s,1,1,y,47,196.42
1,s,1,1,y,48,196.18
1,s,1,1,y,49,195.93
1,s,1,1,y,50,196.28
1,s,1,1,y,51,196.64
1,s,1,1,y,52,196.99
1,s,1,1,y,53,197.9
1,s,1,1,y,54,198.8
1,s,1,1,y,55,199.71
1,s,1,1,y,56,200.94
1,s,1,1,y,57,202.18
1,s,1,1,y,58,203.42
1,s,1,1,y,59,205.04
1,s,1,1,y,60,206.66
1,s,1,1,y,61,208.28
1,s,1,1,y,62,209.86
1,s,1,1,y,63,211.43
